PC1,PC2,PC3,PC4,state_name,DCRI,cluster,broadband_rural,broadband_urban,urban_share,pmjdy_accounts_per_1000_pop,rupay_cards_per_account,avg_balance_per_account,literacy_rate,enrollment_per_1000_pop,enrollment_per_1000_HH,total_startups,msmes_per_1000_pop,population,outlier
-0.3990929257054048,-0.2651406204312119,0.09715635340103368,-0.5792615915460133,MIZORAM,-0.3132435930979247,1,0.0058,0.0048,0.4811,0.3547,0.0,0.125,0.7952,0.3975,0.4468,0.0014,0.4098,0.0052,False
-0.12441757192989869,-0.4239998219833863,-0.20168055998445703,0.096658904085178,NAGALAND,-0.20977152507193936,1,0.0107,0.0087,0.2152,0.0899,0.8436,0.0513,0.5154,0.2363,0.269,0.0029,0.1501,0.0096,False
-0.3262924457860369,0.9758521850932474,0.18993335218377563,-0.0060620110915821455,NCT OF DELHI,0.20549998884429546,0,0.0203,0.6526,1.0,0.3937,0.8994,0.1346,0.7529,0.6441,0.7196,0.5759,0.9452,0.0837,False
0.30486557754486054,-0.2839119515520244,0.00855197402209515,0.16340966369123958,ODISHA,0.05707639128640493,2,0.2491,0.1128,0.0761,0.6189,0.7486,0.1417,0.3929,0.2333,0.2294,0.0991,0.3886,0.2098,False
-0.6934334807971859,0.21318968645286926,0.27428204627577657,-0.16261921020789957,PUDUCHERRY,-0.21540994078649328,1,0.0042,0.0017,0.6665,0.0844,0.5391,0.1149,0.7776,0.7174,0.6745,0.0057,0.7887,0.0059,False
-0.11922893512966472,0.1559384792829238,0.039400664653920114,0.2501878436802572,PUNJAB,0.03188414885551323,1,0.1399,0.2449,0.3138,0.2993,0.743,0.1423,0.5029,0.285,0.3273,0.0622,0.8847,0.1386,False
0.45063409024317497,0.11496044074023921,0.2095886196197346,0.2996247962103007,RAJASTHAN,0.29292256987021603,2,0.3793,0.3384,0.1696,0.6049,0.8296,0.1882,0.1598,0.3648,0.4506,0.1992,0.6438,0.3429,False
-0.34220936256725154,-0.2466344203953513,-0.014736263713442,-0.04584039726051704,SIKKIM,-0.23819907768538853,1,0.0031,0.0026,0.1729,0.0119,0.7291,0.1958,0.6641,0.5195,0.5613,0.0003,0.302,0.0027,False
0.05606023876741019,0.6233670308741187,-0.0865954158826998,0.01883795283221065,TAMIL NADU,0.2236373380637562,0,0.2563,0.5889,0.4386,0.1436,0.7765,0.0519,0.6338,0.4287,0.3779,0.3787,0.8473,0.3609,False
-0.18880465105940886,-0.5184951737633434,-0.21957605308751957,-0.41762652209510376,TRIPURA,-0.3272204591006123,1,0.02,0.0162,0.1845,0.2412,0.2402,0.1839,0.7668,0.2505,0.2428,0.0049,0.1191,0.0181,False
1.2791221533571218,0.4425816592235537,-0.17374050326572188,-0.23801304494242637,UTTAR PRADESH,0.6582940100344897,2,1.0,0.7735,0.1399,0.5351,0.6397,0.177,0.2017,0.3231,0.4438,0.5378,0.2005,1.0,False
-0.25106866353028057,-0.09115650412931045,0.24703889714070731,0.07310596360450647,UTTARAKHAND,-0.10172881440466403,1,0.0358,0.0142,0.231,0.363,0.6369,0.259,0.5264,0.5291,0.5929,0.0453,0.631,0.0502,False
0.5764771475041067,-0.0576903336036795,-0.10714179298993405,-0.23724288770331106,WEST BENGAL,0.1933788317322146,2,0.3772,0.5026,0.2497,0.68,0.5587,0.123,0.5027,0.2741,0.2783,0.1849,0.1653,0.4566,False
